Image_Index, Avg_Start_Offset, Avg_End_Offset
470, 21.737, 7.466
471, 54.255, 21.594
472, 19.650, 11.105
473, 3.385, 3.914
474, 6.634, 3.795
475, 6.481, 23.298
476, 5.540, 16.032
477, 36.561, 8.921
478, 23.101, 30.087
479, 13.086, 17.427
480, 18.060, 28.110
481, 54.235, 9.094
482, 15.302, 5.090
483, 26.692, 11.038
484, 4.246, 7.328
485, 8.319, 45.919
486, 12.670, 53.145
487, 19.086, 9.048
488, 27.167, 15.090
489, 8.729, 31.052
490, 6.413, 18.931
491, 4.919, 19.595
492, 10.748, 25.163
493, 0.689, 2.498
494, 2.279, 1.087
495, 6.143, 11.569
496, 1.101, 2.404
497, 2.745, 0.770
498, 2.425, 2.991
499, 24.728, 8.803
500, 28.750, 36.867
501, 0.858, 3.986
502, 0.657, 2.995
503, 3.025, 0.722
504, 3.168, 5.994
505, 3.759, 0.911
506, 0.825, 3.325
507, 8.739, 4.090
508, 4.035, 1.092
509, 1.101, 3.283
510, 0.795, 3.210
511, 2.796, 0.538
512, 1.745, 2.400
513, 1.817, 1.138
514, 4.079, 0.561
515, 1.299, 1.131
516, 1.832, 3.677
517, 1.200, 1.435
518, 1.025, 0.585
519, 0.328, 2.189
520, 4.339, 10.666
521, 0.971, 1.644
522, 0.527, 1.785
523, 2.187, 0.540
524, 2.690, 1.531
525, 3.963, 1.413
526, 1.266, 1.554
527, 0.486, 1.269
528, 2.104, 1.602
529, 29.108, 12.839
530, 4.571, 1.970
531, 3.375, 10.168
532, 0.485, 2.054
533, 27.049, 13.173
534, 17.131, 3.507
535, 8.578, 2.941
536, 2.127, 5.133
537, 0.990, 2.417
538, 3.623, 5.814
539, 2.693, 1.089
540, 11.406, 7.910
541, 11.835, 4.038
542, 4.871, 5.191
543, 7.871, 9.789
544, 2.650, 3.074
545, 5.727, 6.510
546, 6.966, 4.330
547, 14.856, 4.715
548, 12.006, 11.334
549, 16.956, 7.112
550, 13.966, 5.349
551, 9.170, 3.412
552, 2.528, 1.497
553, 7.759, 4.540
554, 35.522, 12.770
555, 1.137, 9.702
556, 10.319, 3.361
557, 2.565, 3.501
558, 3.037, 4.189
559, 14.828, 3.980
560, 32.777, 19.131
561, 42.803, 80.984
562, 3.742, 9.850
563, 1.249, 2.055
564, 0.957, 1.449
565, 14.770, 10.771
566, 6.504, 12.949
567, 3.520, 1.223
568, 0.758, 0.971
569, 62.024, 18.625
570, 23.719, 15.042
571, 2.847, 2.092
572, 1.628, 0.663
573, 55.238, 31.276
574, 1.392, 0.787
575, 0.611, 1.658
576, 1.179, 1.413
577, 0.710, 1.052
578, 0.407, 0.890
579, 1.497, 0.359
580, 1.117, 0.691
581, 6.210, 8.103
582, 1.048, 1.775
583, 9.173, 2.897
584, 1.077, 3.411
585, 2.321, 1.322
586, 0.792, 3.130
587, 1.506, 0.999
588, 2.072, 1.237
589, 13.732, 5.737
590, 1.211, 0.678
591, 1.344, 1.003
592, 0.581, 1.126
593, 0.567, 0.949
594, 1.235, 1.300
595, 1.326, 0.698
596, 1.975, 1.147
597, 0.731, 0.696
598, 1.547, 0.433
599, 1.378, 1.041
600, 1.119, 0.875
601, 0.764, 1.038
602, 0.299, 2.129
603, 1.527, 0.550
604, 0.632, 2.267
605, 1.576, 0.839
606, 0.876, 2.285
607, 0.527, 1.652
608, 2.458, 0.521
609, 0.680, 3.023
610, 1.623, 0.435
611, 1.528, 0.859
612, 0.892, 1.292
613, 0.561, 2.687
614, 2.313, 0.815
615, 1.150, 2.250
616, 2.127, 0.778
617, 1.162, 0.642
618, 0.543, 1.601
619, 0.646, 0.876
620, 0.869, 0.994
621, 1.130, 1.114
622, 1.508, 0.789
623, 1.177, 1.134
624, 0.784, 0.567
625, 11.211, 0.623
626, 0.674, 1.496
627, 1.115, 0.626
628, 1.292, 1.657
629, 0.504, 0.537
630, 0.940, 0.729
631, 2.196, 0.861
632, 0.406, 1.275
633, 2.978, 0.340
634, 3.239, 0.221
635, 0.300, 3.025
636, 0.330, 2.796
637, 0.625, 2.347
638, 9.851, 7.833
639, 3.659, 0.716
640, 1.555, 2.216
641, 0.553, 2.491
642, 0.947, 2.973
643, 2.352, 0.221
644, 3.073, 0.421
645, 3.335, 0.868
646, 1.917, 2.750
647, 0.701, 2.460
648, 3.136, 0.372
649, 14.476, 6.691
650, 3.824, 12.613
651, 0.848, 1.279
652, 25.413, 88.274
653, 10.259, 2.864
654, 1.396, 0.469
655, 0.749, 1.453
656, 2.363, 1.370
657, 1.674, 0.647
658, 0.782, 0.825
659, 2.087, 0.752
660, 0.865, 1.430
661, 4.318, 2.393
662, 1.346, 1.178
663, 7.740, 1.559
664, 4.168, 2.723
665, 0.419, 0.843
666, 1.727, 1.235
667, 1.667, 2.311
668, 0.784, 0.739
669, 1.603, 4.439
670, 0.886, 0.372
671, 15.270, 19.319
672, 0.882, 0.919
673, 1.212, 1.162
674, 0.668, 1.274
675, 0.967, 0.897
676, 1.987, 0.818
677, 0.539, 1.057
678, 1.759, 1.103
679, 3.212, 0.992
680, 1.969, 1.057
681, 0.540, 2.317
682, 2.243, 0.520
683, 1.377, 1.601
684, 2.333, 0.633
685, 1.722, 1.722
686, 2.394, 0.463
687, 1.484, 0.963
688, 1.339, 1.710
689, 0.903, 122.177
690, 0.249, 0.992
691, 10.650, 10.432
692, 1.506, 110.336
693, 0.889, 0.367
694, 4.347, 1.158
695, 4.964, 2.025
696, 2.059, 0.654
697, 13.120, 51.131
698, 1.017, 9.728
699, 0.692, 2.056
700, 3.249, 37.870
701, 0.765, 11.796
702, 3.040, 0.641
703, 33.723, 81.204
704, 0.432, 5.375
705, 0.246, 2.618
706, 138.041, 12.375
707, 0.309, 1.686
708, 1.241, 0.841
709, 1.868, 0.373
710, 2.579, 0.422
711, 0.640, 2.677
712, 1.367, 2.406
713, 1.142, 1.042
714, 1.690, 0.610
715, 0.977, 1.524
716, 0.851, 1.365
717, 1.019, 2.663
718, 2.245, 2.703
719, 1.271, 0.513
720, 1.372, 1.840
721, 3.268, 7.172
722, 1.172, 0.910
723, 1.156, 2.059
724, 0.630, 0.856
725, 2.454, 0.308
726, 0.804, 1.430
727, 0.671, 1.207
728, 0.618, 1.995
729, 2.339, 4.444
730, 0.896, 1.198
731, 1.049, 1.946
732, 0.413, 2.761
733, 1.417, 0.725
734, 2.291, 22.181
735, 8.777, 5.111
736, 2.909, 2.369
737, 1.019, 2.617
738, 9.321, 37.992
739, 6.751, 3.481
740, 3.052, 7.377
741, 3.981, 9.697
742, 2.219, 1.452
743, 4.021, 15.098
744, 3.877, 4.418
745, 1.862, 1.883
746, 1.389, 1.008
747, 23.943, 9.179
748, 14.363, 1.634
749, 19.746, 1.872
750, 2.837, 1.058
751, 0.639, 1.489
752, 3.435, 4.818
753, 3.226, 2.915
754, 4.979, 4.605
755, 4.484, 2.293
756, 2.407, 1.693
757, 3.193, 5.734
758, 16.806, 2.773
759, 22.831, 13.259
760, 2.854, 4.791
761, 1.836, 2.148
762, 2.650, 3.304
763, 10.587, 5.939
764, 3.071, 44.402
765, 3.309, 2.868
766, 3.146, 2.276
767, 3.848, 5.514
768, 6.170, 5.490
769, 2.525, 22.196
770, 5.246, 3.606
771, 1.131, 0.921
772, 3.280, 3.485
773, 7.029, 6.595
774, 4.691, 37.251
775, 14.700, 8.316
776, 1.839, 3.286
777, 25.222, 16.771
778, 2.469, 5.395
779, 2.731, 3.036
780, 2.643, 2.142
781, 0.885, 1.568
782, 6.412, 8.370
783, 16.628, 5.976
784, 3.881, 4.562
785, 2.194, 2.623
786, 4.142, 24.461
787, 0.458, 0.815
788, 1.048, 0.527
789, 0.292, 0.782
790, 1.253, 0.990
791, 1.176, 0.586
792, 0.660, 0.807
793, 0.780, 0.701
794, 0.918, 0.681
795, 0.772, 0.615
796, 0.796, 0.911
797, 0.270, 2.679
798, 2.644, 1.002
799, 2.177, 0.566
800, 1.673, 1.610
801, 0.584, 2.521
802, 1.370, 1.587
803, 3.456, 0.655
804, 2.512, 1.808
805, 0.511, 2.625
806, 0.383, 3.684
807, 3.691, 0.592
808, 2.806, 1.222
809, 0.387, 2.413
810, 2.343, 0.927
811, 0.490, 2.808
812, 1.817, 1.334
813, 2.115, 0.787
814, 1.954, 0.670
815, 1.619, 1.936
816, 3.000, 0.543
817, 5.443, 6.442
818, 2.359, 0.901
819, 1.247, 2.098
820, 0.843, 2.271
821, 2.235, 0.939
822, 2.586, 1.190
823, 0.880, 2.598
824, 1.916, 1.117
825, 1.281, 1.605
826, 1.548, 1.643
827, 0.670, 2.510
828, 0.735, 3.255
829, 1.998, 1.497
830, 0.808, 1.705
831, 2.173, 1.408
832, 0.914, 1.179
833, 1.674, 0.783
834, 6.659, 1.926
835, 1.799, 1.747
836, 1.462, 3.034
837, 4.699, 1.198
838, 1.471, 0.834
839, 0.803, 1.092
840, 1.745, 1.455
841, 0.948, 0.966
842, 3.280, 0.879
843, 0.703, 2.245
844, 6.121, 2.302
845, 1.621, 1.380
846, 1.101, 2.727
847, 1.436, 0.824
848, 1.158, 2.855
849, 4.405, 10.311
850, 2.442, 3.649
851, 2.160, 2.291
852, 5.090, 2.155
853, 1.483, 3.132
854, 1.075, 1.060
855, 5.176, 1.881
856, 1.028, 1.605
857, 1.337, 3.401
858, 2.632, 0.966
859, 0.824, 0.853
860, 1.440, 1.684
861, 1.331, 1.438
862, 0.804, 0.694
863, 1.905, 3.466
864, 3.779, 1.542
865, 1.659, 1.816
866, 3.536, 6.274
867, 1.967, 1.683
868, 1.717, 1.786
869, 4.533, 1.889
870, 2.593, 1.829
871, 1.116, 1.851
872, 2.677, 2.018
873, 0.866, 5.741
874, 1.220, 0.934
875, 9.034, 3.316
876, 1.223, 2.624
877, 4.961, 1.753
878, 0.961, 0.583
879, 1.474, 1.506
880, 1.394, 1.122
881, 0.789, 1.100
882, 1.427, 1.766
883, 1.068, 0.916
884, 1.106, 1.026
885, 1.321, 2.168
886, 2.990, 2.137
887, 3.869, 2.115
888, 1.146, 1.888
889, 0.727, 2.241
890, 1.219, 0.898
891, 30.997, 20.878
892, 1.936, 0.984
893, 2.059, 0.794
894, 0.687, 1.982
895, 0.852, 0.890
896, 1.393, 0.844
897, 1.347, 1.165
898, 1.369, 1.585
899, 0.901, 6.066
