Image_Index, Avg_Start_Offset, Avg_End_Offset
363, 6.907, 16.247
364, 50.730, 25.576
365, 56.788, 114.083
366, 24.268, 11.316
367, 45.717, 16.630
368, 15.145, 27.041
369, 7.845, 1.482
370, 15.158, 6.096
371, 5.928, 6.371
372, 3.828, 3.797
373, 7.704, 26.636
374, 4.416, 7.645
375, 5.292, 2.002
376, 7.089, 12.820
377, 11.092, 41.543
378, 2.153, 2.931
379, 13.666, 10.014
380, 3.500, 2.964
381, 3.443, 4.501
382, 79.023, 14.061
383, 12.219, 32.026
384, 4.896, 6.096
385, 6.525, 2.964
386, 1.466, 4.905
387, 1.749, 3.663
388, 3.126, 0.727
389, 1.513, 0.715
390, 2.243, 6.284
391, 3.873, 2.058
392, 2.741, 1.047
393, 2.427, 3.102
394, 5.786, 1.809
395, 2.014, 4.719
396, 0.690, 0.750
397, 1.800, 0.575
398, 8.887, 5.033
399, 4.631, 3.452
400, 1.718, 0.626
401, 1.594, 5.895
402, 3.341, 0.710
403, 1.349, 2.848
404, 6.753, 1.202
405, 1.444, 2.523
406, 1.354, 0.932
407, 1.069, 1.228
408, 21.240, 2.768
409, 2.218, 1.525
410, 11.185, 7.810
411, 3.743, 32.029
412, 1.325, 0.714
413, 3.061, 3.719
414, 7.713, 1.296
415, 0.934, 2.794
416, 4.135, 22.281
417, 2.216, 2.106
418, 6.531, 18.416
419, 4.284, 2.734
420, 8.298, 45.080
421, 4.289, 11.800
422, 1.825, 3.874
423, 8.183, 2.567
424, 1.630, 4.285
425, 1.812, 1.395
426, 18.287, 83.041
427, 32.657, 6.626
428, 25.357, 8.503
429, 6.676, 7.949
430, 30.566, 11.784
431, 33.931, 40.503
432, 25.393, 31.119
433, 25.607, 43.731
434, 5.564, 71.198
435, 10.412, 92.138
436, 27.820, 21.092
437, 4.389, 12.650
438, 14.406, 7.060
439, 104.713, 72.873
440, 13.130, 14.027
441, 13.253, 30.574
442, 27.774, 10.296
443, 18.309, 27.216
444, 26.665, 5.158
445, 4.862, 13.830
446, 4.318, 31.982
447, 59.537, 25.865
448, 24.367, 16.033
449, 33.868, 12.903
450, 36.329, 9.019
451, 24.870, 4.721
452, 31.178, 47.122
453, 20.667, 6.210
454, 8.355, 41.487
455, 11.151, 14.385
456, 29.159, 39.462
457, 102.608, 41.552
458, 32.618, 10.052
459, 17.626, 8.043
460, 28.945, 13.228
461, 33.404, 8.092
462, 23.343, 35.172
463, 12.296, 10.578
464, 35.849, 71.412
465, 29.839, 34.582
466, 13.550, 7.620
467, 59.172, 19.725
468, 62.313, 104.882
469, 27.004, 4.909
470, 41.590, 21.320
471, 77.400, 10.608
472, 50.854, 8.017
473, 18.856, 8.582
474, 26.681, 53.681
475, 7.927, 21.207
476, 8.657, 17.681
477, 43.218, 16.291
478, 26.872, 97.590
479, 48.809, 23.037
480, 47.523, 41.620
481, 53.650, 14.151
482, 72.085, 10.485
483, 16.574, 28.547
484, 50.381, 40.668
485, 12.284, 65.903
486, 17.954, 45.220
487, 54.263, 28.155
488, 58.949, 36.176
489, 33.407, 31.964
490, 7.364, 37.557
491, 7.110, 54.473
492, 13.127, 31.917
493, 2.170, 4.468
494, 12.327, 10.849
495, 8.645, 18.973
496, 2.389, 8.235
497, 11.401, 6.031
498, 3.010, 3.315
499, 68.493, 23.905
500, 10.916, 25.128
501, 45.515, 11.882
502, 1.115, 2.697
503, 68.053, 32.085
504, 8.788, 54.479
505, 17.930, 7.327
506, 2.848, 3.623
507, 10.965, 8.282
508, 4.228, 2.456
509, 1.170, 2.798
510, 7.374, 14.637
511, 39.774, 16.362
512, 11.381, 6.798
513, 63.383, 52.458
514, 38.543, 27.275
515, 1.574, 1.431
516, 89.560, 131.599
517, 2.180, 6.390
518, 7.687, 16.783
519, 10.809, 17.502
520, 48.713, 16.541
521, 4.899, 8.399
522, 60.522, 69.149
523, 64.741, 61.880
524, 34.370, 17.262
525, 10.931, 26.123
526, 64.225, 69.717
527, 115.572, 75.700
528, 81.433, 43.051
529, 88.323, 21.315
530, 30.555, 26.744
531, 4.193, 19.761
532, 39.506, 33.194
533, 44.877, 74.239
534, 46.850, 9.107
535, 67.512, 7.019
536, 8.491, 16.469
537, 6.327, 14.841
538, 1.341, 5.685
539, 44.583, 45.417
540, 31.535, 103.884
541, 23.285, 25.042
542, 27.383, 5.924
543, 9.613, 26.350
544, 18.704, 19.661
545, 4.355, 7.227
546, 23.170, 13.854
547, 49.734, 7.200
548, 30.959, 62.272
549, 48.653, 8.165
550, 36.556, 44.561
551, 16.984, 27.369
552, 4.451, 7.645
553, 7.063, 13.867
554, 58.393, 55.255
555, 41.422, 61.501
556, 22.537, 25.660
557, 72.581, 54.280
558, 10.208, 15.587
559, 2.747, 3.382
560, 59.722, 63.284
561, 50.085, 114.282
562, 4.025, 13.158
563, 4.257, 10.326
564, 4.084, 1.716
565, 7.940, 7.186
566, 12.953, 67.507
567, 1.762, 1.401
568, 27.666, 23.899
569, 24.184, 17.087
570, 37.918, 105.773
571, 6.312, 3.439
572, 61.464, 23.156
573, 36.778, 17.495
574, 22.211, 4.371
575, 4.266, 48.930
576, 0.996, 2.336
577, 6.582, 3.164
578, 47.252, 10.754
579, 12.720, 32.465
580, 1.527, 17.048
581, 44.036, 14.043
582, 0.560, 1.739
583, 27.259, 9.405
584, 2.913, 6.095
585, 13.387, 1.639
586, 2.842, 5.353
587, 6.104, 1.110
588, 0.869, 2.967
