Image_Index, Avg_Start_Offset, Avg_End_Offset
335, 7.18, 23.65, -16.47, 30.82
336, 21.21, 47.02, -25.81, 68.24
337, 19.43, 19.72, -0.29, 39.14
338, 4.62, 7.69, -3.07, 12.30
339, 5.26, 9.66, -4.40, 14.92
340, 25.19, 42.64, -17.46, 67.83
341, 32.63, 62.74, -30.12, 95.37
342, 33.50, 48.28, -14.77, 81.78
343, 19.68, 31.27, -11.58, 50.95
344, 2.23, 5.58, -3.35, 7.81
345, 35.89, 55.16, -19.27, 91.05
346, 21.37, 33.24, -11.88, 54.61
347, 1.87, 6.52, -4.66, 8.39
348, 13.99, 34.12, -20.14, 48.11
349, 2.97, 4.65, -1.68, 7.61
350, 1.15, 2.18, -1.03, 3.33
351, 11.47, 23.87, -12.39, 35.34
352, 10.69, 20.42, -9.73, 31.11
353, 2.79, 14.39, -11.60, 17.17
354, 16.89, 38.65, -21.76, 55.54
355, 7.85, 10.94, -3.08, 18.79
356, 15.72, 35.30, -19.57, 51.02
357, 13.64, 19.00, -5.35, 32.64
358, 4.00, 4.30, -0.30, 8.30
359, 7.04, 13.15, -6.11, 20.19
360, 5.09, 9.22, -4.13, 14.30
361, 3.48, 6.83, -3.35, 10.32
362, 4.63, 7.30, -2.67, 11.94
363, 9.81, 17.85, -8.04, 27.65
364, 13.86, 19.55, -5.70, 33.41
365, 30.17, 60.65, -30.48, 90.81
366, 11.38, 25.09, -13.72, 36.47
367, 5.66, 16.58, -10.92, 22.24
368, 3.82, 13.99, -10.17, 17.82
369, 4.23, 13.90, -9.67, 18.13
370, 6.24, 17.48, -11.23, 23.72
371, 1.27, 2.05, -0.78, 3.32
372, 1.00, 4.53, -3.53, 5.52
373, 1.76, 3.26, -1.50, 5.02
374, 1.02, 3.97, -2.95, 4.99
375, 11.31, 31.64, -20.33, 42.96
376, 6.40, 19.68, -13.27, 26.08
377, 10.17, 22.78, -12.61, 32.94
378, 4.34, 13.08, -8.74, 17.42
379, 4.90, 24.57, -19.67, 29.47
380, 3.06, 11.32, -8.26, 14.38
381, 2.89, 11.28, -8.39, 14.17
382, 2.64, 15.86, -13.22, 18.51
383, 12.23, 37.96, -25.73, 50.19
384, 2.79, 8.61, -5.82, 11.39
385, 2.84, 13.77, -10.92, 16.61
386, 1.58, 5.76, -4.17, 7.34
387, 5.83, 22.14, -16.30, 27.97
388, 6.99, 15.89, -8.90, 22.89
389, 42.34, 69.63, -27.29, 111.97
390, 10.28, 29.30, -19.02, 39.59
391, 2.09, 7.76, -5.66, 9.85
392, 11.34, 32.23, -20.89, 43.57
393, 1.57, 13.33, -11.76, 14.91
394, 3.69, 18.31, -14.62, 22.00
395, 2.77, 3.59, -0.82, 6.36
396, 3.03, 4.73, -1.70, 7.77
397, 6.26, 8.94, -2.68, 15.20
398, 3.94, 4.92, -0.98, 8.86
399, 3.12, 4.10, -0.97, 7.22
400, 6.86, 7.29, -0.43, 14.15
401, 1.43, 1.29, 0.14, 2.72
402, 3.58, 13.83, -10.25, 17.41
403, 1.12, 1.01, 0.11, 2.14
404, 1.63, 1.92, -0.29, 3.56
405, 13.54, 21.53, -7.99, 35.07
406, 6.87, 11.29, -4.43, 18.16
407, 3.30, 4.49, -1.19, 7.80
408, 2.13, 2.78, -0.65, 4.91
409, 16.56, 19.40, -2.84, 35.95
410, 21.49, 40.55, -19.06, 62.04
411, 17.11, 19.00, -1.90, 36.11
412, 5.83, 13.17, -7.34, 19.00
413, 20.48, 33.46, -12.98, 53.94
414, 2.50, 4.83, -2.33, 7.33
415, 3.45, 8.16, -4.71, 11.62
416, 5.10, 8.54, -3.44, 13.63
417, 14.23, 21.08, -6.85, 35.31
418, 14.52, 26.16, -11.64, 40.68
419, 13.32, 33.98, -20.66, 47.29
420, 18.86, 39.92, -21.06, 58.78
421, 8.77, 23.53, -14.75, 32.30
422, 7.35, 16.95, -9.61, 24.30
423, 8.30, 23.31, -15.01, 31.60
424, 4.70, 8.04, -3.34, 12.74
425, 71.57, 53.54, 18.03, 125.11
426, 7.65, 21.71, -14.06, 29.35
427, 12.65, 21.08, -8.44, 33.73
428, 7.18, 13.89, -6.72, 21.07
429, 14.21, 36.04, -21.83, 50.25
430, 6.38, 14.16, -7.78, 20.55
431, 4.10, 11.15, -7.05, 15.24
432, 24.14, 29.05, -4.91, 53.18
433, 4.22, 7.04, -2.83, 11.26
434, 46.14, 61.66, -15.52, 107.80
435, 6.45, 13.97, -7.51, 20.42
436, 51.15, 64.78, -13.63, 115.93
437, 16.89, 37.68, -20.79, 54.57
438, 13.57, 27.67, -14.10, 41.24
439, 5.87, 16.18, -10.31, 22.06
440, 4.59, 5.28, -0.70, 9.87
441, 18.14, 20.78, -2.63, 38.92
442, 13.31, 34.73, -21.42, 48.04
443, 18.56, 26.97, -8.41, 45.53
444, 8.86, 10.77, -1.91, 19.63
445, 7.63, 11.82, -4.19, 19.45
446, 12.58, 14.99, -2.41, 27.57
447, 1.65, 2.01, -0.36, 3.67
448, 6.94, 12.23, -5.29, 19.17
449, 5.16, 11.06, -5.90, 16.22
450, 8.90, 10.16, -1.26, 19.06
451, 42.03, 58.68, -16.65, 100.71
452, 13.31, 20.86, -7.55, 34.16
453, 6.34, 12.31, -5.97, 18.64
454, 23.66, 33.91, -10.25, 57.56
455, 7.77, 15.26, -7.49, 23.03
456, 5.33, 6.47, -1.13, 11.80
457, 19.77, 41.54, -21.76, 61.31
458, 3.73, 6.89, -3.16, 10.62
459, 14.55, 19.83, -5.28, 34.38
460, 24.90, 33.46, -8.56, 58.35
461, 36.66, 84.17, -47.51, 120.83
462, 36.66, 35.52, 1.14, 72.17
463, 2.03, 3.49, -1.45, 5.52
464, 4.21, 9.87, -5.66, 14.09
465, 1.84, 6.79, -4.96, 8.63
466, 43.62, 41.33, 2.29, 84.95
467, 10.43, 20.06, -9.63, 30.48
468, 55.02, 68.89, -13.87, 123.91
469, 20.58, 31.88, -11.30, 52.46
470, 10.62, 26.82, -16.20, 37.44
471, 6.71, 19.72, -13.01, 26.43
472, 14.48, 27.21, -12.73, 41.69
473, 11.91, 23.95, -12.04, 35.86
474, 7.16, 8.26, -1.10, 15.42
475, 8.51, 16.13, -7.62, 24.64
476, 10.67, 33.55, -22.88, 44.22
477, 4.04, 5.18, -1.14, 9.22
478, 8.90, 12.33, -3.43, 21.23
479, 6.83, 21.23, -14.40, 28.05
480, 17.76, 26.33, -8.56, 44.09
481, 30.68, 48.17, -17.49, 78.85
482, 7.71, 12.92, -5.22, 20.63
483, 5.11, 11.57, -6.46, 16.68
484, 7.56, 14.54, -6.98, 22.10
485, 8.82, 10.07, -1.24, 18.89
486, 7.75, 17.51, -9.77, 25.26
487, 11.04, 15.39, -4.35, 26.43
488, 5.79, 10.23, -4.45, 16.02
489, 18.03, 27.64, -9.61, 45.67
490, 9.15, 9.83, -0.68, 18.98
491, 9.39, 26.98, -17.59, 36.37
492, 18.66, 41.26, -22.60, 59.92
493, 6.89, 16.10, -9.21, 22.99
494, 3.21, 12.78, -9.57, 15.99
495, 40.17, 78.25, -38.08, 118.42
496, 5.19, 9.16, -3.97, 14.34
497, 95.64, 94.85, 0.79, 190.49
498, 5.45, 9.86, -4.41, 15.31
499, 10.04, 29.38, -19.34, 39.43
500, 40.51, 37.82, 2.69, 78.34
501, 42.97, 47.25, -4.28, 90.23
502, 4.00, 8.84, -4.84, 12.84
503, 6.81, 11.14, -4.33, 17.95
504, 62.58, 61.51, 1.07, 124.09
505, 11.53, 17.69, -6.16, 29.22
506, 30.93, 53.51, -22.59, 84.44
507, 15.47, 21.17, -5.71, 36.64
508, 3.26, 10.63, -7.37, 13.89
509, 16.37, 17.82, -1.44, 34.19
510, 17.90, 26.12, -8.22, 44.03
511, 22.68, 33.71, -11.02, 56.39
512, 21.87, 37.93, -16.06, 59.80
513, 28.75, 31.54, -2.79, 60.29
514, 33.48, 52.60, -19.12, 86.07
515, 10.79, 24.61, -13.83, 35.40
516, 4.75, 10.56, -5.80, 15.31
517, 13.48, 26.72, -13.24, 40.20
518, 19.66, 34.53, -14.88, 54.19
519, 16.90, 28.13, -11.24, 45.03
520, 3.58, 6.41, -2.83, 10.00
521, 9.44, 19.94, -10.50, 29.37
522, 8.47, 16.38, -7.91, 24.85
523, 8.08, 13.74, -5.66, 21.82
524, 100.98, 104.19, -3.21, 205.16
525, 15.10, 24.94, -9.84, 40.04
526, 11.82, 18.73, -6.91, 30.54
527, 77.48, 72.22, 5.27, 149.70
528, 7.33, 13.51, -6.18, 20.83
529, 4.32, 9.94, -5.62, 14.26
530, 7.06, 10.68, -3.63, 17.74
531, 64.95, 57.06, 7.89, 122.02
532, 13.09, 12.67, 0.42, 25.76
533, 6.64, 7.96, -1.32, 14.60
534, 9.40, 12.91, -3.51, 22.31
535, 3.76, 4.61, -0.85, 8.37
536, 25.67, 50.97, -25.31, 76.64
537, 13.61, 29.23, -15.62, 42.84
538, 1.20, 1.50, -0.30, 2.69
539, 21.83, 32.51, -10.68, 54.34
540, 7.43, 22.17, -14.73, 29.60
541, 25.49, 41.05, -15.56, 66.54
542, 2.83, 9.88, -7.04, 12.71
543, 15.99, 27.18, -11.19, 43.17
544, 4.44, 15.09, -10.65, 19.53
